Model Name, AS72625x
Serial Number, 
Time, 2019-02-04_20:08:07
DUT, x220 IPS
Temperature, 32764
X, 43.890666
Y, 35.287060
Z, 183.650893
x, 0.166993
y, 0.134259
410nm,0.928465
435nm,15.582019
460nm,81.851471
485nm,30.961882
510nm,13.445601
535nm,10.673085
560nm,3.582995
585nm,1.847102
610nm,6.049501
645nm,1.519089
680nm,0.974355
705nm,0.351299
730nm,0.000000
760nm,0.000000
810nm,0.895880
860nm,1.113651
900nm,0.000000
940nm,0.000000
TCS Gain, 16
TCS ATime, 460.800018
TCS C, 6518
TCS R, 551
TCS G, 1768
TCS B, 3988
